Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 17.86      0.10     0.10     2549    39.23    62.76  Robot::changeToPicture(int, double, double, double)
 17.86      0.20     0.10     2203    45.40    45.40  Robot::checkCondition(double)
  7.14      0.24     0.04     5100     7.84     7.84  __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&)
  5.36      0.27     0.03     2550    11.77    82.36  Robot::laserCallback(sensor_msgs::LaserScan_<std::allocator<void> >)
  3.57      0.29     0.02  5509720     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long) const
  3.57      0.31     0.02  2029873     0.01     0.01  cv::Point_<int>::Point_(int, int)
  3.57      0.33     0.02  2009192     0.01     0.02  cv::Rect_<int>::tl() const
  3.57      0.35     0.02  1554607     0.01     0.01  unsigned char& cv::Mat::at<unsigned char>(int, int)
  3.57      0.37     0.02     2203     9.08    99.84  Robot::followHuman(cv::Mat, bool)
  3.57      0.39     0.02                             cv::Mat::Mat(int, int, int, void*, unsigned long)
  1.79      0.40     0.01  3679386     0.00     0.00  Robot::getY()
  1.79      0.41     0.01  3679371     0.00     0.00  Robot::getX()
  1.79      0.42     0.01  3676846     0.00     0.00  Robot::getLastY()
  1.79      0.43     0.01  3676829     0.00     0.00  Robot::getLastX()
  1.79      0.44     0.01  1835108     0.01     0.01  Robot::getTime()
  1.79      0.45     0.01  1819086     0.01     0.01  cv::Mat::MStep::operator unsigned long() const
  1.79      0.46     0.01   661338     0.02     0.02  Object::Object()
  1.79      0.47     0.01   405350     0.02     0.02  std::vector<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >, std::allocator<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >::operator[](unsigned long)
  1.79      0.48     0.01   290702     0.03     0.03  boost::detail::atomic_exchange_and_add(int*, int)
  1.79      0.49     0.01   253519     0.04     0.04  cv::Mat::MStep::operator[](int)
  1.79      0.50     0.01    11756     0.85     0.93  boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >::operator=(boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > > const&)
  1.79      0.51     0.01    10200     0.98     0.98  float* std::__uninitialized_copy_a<float*, float*, float>(float*, float*, float*, std::allocator<float>&)
  1.79      0.52     0.01     9207     1.09     1.09  void ros::serialization::Serializer<std::string>::read<ros::serialization::IStream>(ros::serialization::IStream&, std::string&)
  1.79      0.53     0.01     6659     1.50     1.50  std::_Iter_base<double*, false>::_S_base(double*)
  1.79      0.54     0.01     5882     1.70     1.70  boost::detail::shared_count::get_untyped_deleter() const
  1.79      0.55     0.01     2204     4.54    40.20  Robot::findLegs(cv::Mat, Object*, cv::Mat, cv::Mat, std::string const&, cv::Scalar_<double>, int, int, int, int, double, double, double, double, double, double, double, double)
  1.79      0.56     0.01                             main
  0.00      0.56     0.00  1840977     0.00     0.00  Robot::getTheta()
  0.00      0.56     0.00  1838427     0.00     0.00  Robot::getLastTheta()
  0.00      0.56     0.00  1832555     0.00     0.00  Robot::getLastTime()
  0.00      0.56     0.00  1819073     0.00     0.00  cv::Mat::elemSize() const
  0.00      0.56     0.00   769618     0.00     0.00  cv::Point_<float>::Point_()
  0.00      0.56     0.00   247541     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::size() const
  0.00      0.56     0.00   182456     0.00     0.00  cv::Mat::release()
  0.00      0.56     0.00   175830     0.00     0.00  cv::Mat::~Mat()
  0.00      0.56     0.00   162230     0.00     0.00  cv::Size_<int>::Size_()
  0.00      0.56     0.00   157829     0.00     0.00  cv::_InputArray::_InputArray<cv::Point_<int> >(std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > const&)
  0.00      0.56     0.00   148427     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::__normal_iterator(cv::Point_<int> const* const&)
  0.00      0.56     0.00   148427     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::base() const
  0.00      0.56     0.00   142756     0.00     0.00  cv::Mat::MStep::MStep()
  0.00      0.56     0.00   142742     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00      0.56     0.00   120550     0.00     0.08  boost::detail::shared_count::~shared_count()
  0.00      0.56     0.00    90308     0.00     0.00  std::vector<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >, std::allocator<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >::size() const
  0.00      0.56     0.00    88084     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::deallocate(cv::Point_<int>*, unsigned long)
  0.00      0.56     0.00    88083     0.00     0.00  void std::_Destroy_aux<true>::__destroy<cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*)
  0.00      0.56     0.00    88082     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::~new_allocator()
  0.00      0.56     0.00    88081     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator()
  0.00      0.56     0.00    88081     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::~_Vector_base()
  0.00      0.56     0.00    88079     0.00     0.00  std::allocator<cv::Point_<int> >::~allocator()
