Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 21.05      0.04     0.04     1046    38.24    76.49  Robot::laserCallback(sensor_msgs::LaserScan_<std::allocator<void> >)
 15.79      0.07     0.03  2260268     0.01     0.01  std::vector<float, std::allocator<float> >::operator[](unsigned long) const
 10.53      0.09     0.02      940    21.28    63.83  Robot::followHuman(cv::Mat, bool)
  5.26      0.10     0.01   916542     0.01     0.01  cv::Rect_<int>::tl() const
  5.26      0.11     0.01   341411     0.03     0.03  cv::Point_<float>::Point_()
  5.26      0.12     0.01     4920     2.03     2.03  boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >::shared_ptr(boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > > const&)
  5.26      0.13     0.01     2460     4.07     4.07  std_msgs::Header_<std::allocator<void> >::Header_()
  5.26      0.14     0.01     2092     4.78     4.78  __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&)
  5.26      0.15     0.01     1880     5.32     5.32  cv::MatExpr::operator cv::Mat() const
  5.26      0.16     0.01     1046     9.56    19.12  void ros::serialization::Serializer<sensor_msgs::LaserScan_<std::allocator<void> > >::allInOne<ros::serialization::IStream, sensor_msgs::LaserScan_<std::allocator<void> >&>(ros::serialization::IStream&, sensor_msgs::LaserScan_<std::allocator<void> >&)
  5.26      0.17     0.01     1045     9.57     9.57  Robot::changeToPicture(int, double, double, double)
  5.26      0.18     0.01      939    10.65    10.65  Robot::checkCondition(double)
  2.63      0.19     0.01    49095     0.10     0.10  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_Vector_impl::~_Vector_impl()
  2.63      0.19     0.01      940     5.32     5.32  cv::Matx<double, 4, 1>::Matx(double const*)
  0.00      0.19     0.00  1509303     0.00     0.00  Robot::getY()
  0.00      0.19     0.00  1509288     0.00     0.00  Robot::getX()
  0.00      0.19     0.00  1508265     0.00     0.00  Robot::getLastY()
  0.00      0.19     0.00  1508241     0.00     0.00  Robot::getLastX()
  0.00      0.19     0.00   924101     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00      0.19     0.00   755175     0.00     0.00  Robot::getTheta()
  0.00      0.19     0.00   755031     0.00     0.00  Robot::getTime()
  0.00      0.19     0.00   754137     0.00     0.00  Robot::getLastTheta()
  0.00      0.19     0.00   753990     0.00     0.00  Robot::getLastTime()
  0.00      0.19     0.00   744734     0.00     0.00  cv::Mat::elemSize() const
  0.00      0.19     0.00   744733     0.00     0.00  cv::Mat::MStep::operator unsigned long() const
  0.00      0.19     0.00   713230     0.00     0.00  unsigned char& cv::Mat::at<unsigned char>(int, int)
  0.00      0.19     0.00   281913     0.00     0.03  Object::Object()
  0.00      0.19     0.00   230564     0.00     0.00  std::vector<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >, std::allocator<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >::operator[](unsigned long)
  0.00      0.19     0.00   144994     0.00     0.00  cv::Mat::MStep::operator[](int)
  0.00      0.19     0.00   141236     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::size() const
  0.00      0.19     0.00   123124     0.00     0.00  boost::detail::atomic_exchange_and_add(int*, int)
  0.00      0.19     0.00    91205     0.00     0.00  cv::Size_<int>::Size_()
  0.00      0.19     0.00    90231     0.00     0.00  cv::Mat::release()
  0.00      0.19     0.00    89330     0.00     0.00  cv::_InputArray::_InputArray<cv::Point_<int> >(std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > const&)
  0.00      0.19     0.00    87884     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::__normal_iterator(cv::Point_<int> const* const&)
  0.00      0.19     0.00    87878     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::base() const
  0.00      0.19     0.00    87397     0.00     0.00  cv::Mat::~Mat()
  0.00      0.19     0.00    73275     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00      0.19     0.00    73274     0.00     0.00  cv::Mat::MStep::MStep()
  0.00      0.19     0.00    51981     0.00     0.00  boost::detail::shared_count::~shared_count()
  0.00      0.19     0.00    50024     0.00     0.00  std::vector<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >, std::allocator<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >::size() const
  0.00      0.19     0.00    49097     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_deallocate(cv::Point_<int>*, unsigned long)
  0.00      0.19     0.00    49097     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >* std::__addressof<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >&)
  0.00      0.19     0.00    49097     0.00     0.10  void std::_Destroy<std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >*)
  0.00      0.19     0.00    49096     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::deallocate(cv::Point_<int>*, unsigned long)
  0.00      0.19     0.00    49096     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::~new_allocator()
  0.00      0.19     0.00    49096     0.00     0.00  std::allocator<cv::Point_<int> >::~allocator()
  0.00      0.19     0.00    49096     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator()
